RE_FOUR;FO_DESI;RE_ARTI;RE_DESI;RE_CODE;RE_QMOU;AR_UNIT;LA_DECH;RE_DMOU;XECART
000123;PRECI-DECTA Groupe H;C11471210001;SHAFT B1;121615;100,0000;U;10/03/2016;08/03/2016;-2
000123;PRECI-DECTA Groupe H;C11471210001;SHAFT B1;122824;180,0000;U;27/07/2016;22/07/2016;-5
000123;PRECI-DECTA Groupe H;C11471210001;SHAFT B1;122975;540,0000;U;24/08/2016;01/09/2016;8
000123;PRECI-DECTA Groupe H;C11471210001;SHAFT B1;123034;180,0000;U;24/08/2016;09/09/2016;16
000123;PRECI-DECTA Groupe H;C11471210001;SHAFT B1;123087;540,0000;U;24/08/2016;15/09/2016;22
000123;PRECI-DECTA Groupe H;C11471210001;SHAFT B1;123087;90,0000;U;24/08/2016;15/09/2016;22
000123;PRECI-DECTA Groupe H;C11471210001;SHAFT B1;123163;150,0000;U;24/08/2016;23/09/2016;30
000123;PRECI-DECTA Groupe H;C11471210001;SHAFT B1;123163;840,0000;U;13/09/2016;23/09/2016;10
000123;PRECI-DECTA Groupe H;C11471210001;SHAFT B1;123226;270,0000;U;28/09/2016;30/09/2016;2
000123;PRECI-DECTA Groupe H;C11471210001;SHAFT B1;123309;270,0000;U;28/09/2016;07/10/2016;9
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;121561;75,0000;U;07/03/2016;02/03/2016;-5
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;122823;83,0000;U;07/07/2016;22/07/2016;15
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;122825;450,0000;U;07/07/2016;22/07/2016;15
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;122940;270,0000;U;07/07/2016;26/08/2016;50
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;122941;360,0000;U;18/07/2016;26/08/2016;39
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;122962;720,0000;U;18/07/2016;31/08/2016;44
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;123033;630,0000;U;25/07/2016;09/09/2016;46
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;123033;540,0000;U;25/07/2016;09/09/2016;46
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;123225;172,0000;U;25/07/2016;30/09/2016;67
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;123307;525,0000;U;25/07/2016;07/10/2016;74
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;123308;180,0000;U;25/07/2016;07/10/2016;74
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;123387;810,0000;U;25/07/2016;14/10/2016;81
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;123448;343,0000;U;25/07/2016;21/10/2016;88
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;123448;1187,0000;U;01/09/2016;21/10/2016;50
000123;PRECI-DECTA Groupe H;C13001210018A;SHAFT B3;123501;1770,0000;U;01/09/2016;27/10/2016;56
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;121208;9635,0000;U;27/01/2016;19/01/2016;-8
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;121249;5090,0000;U;27/01/2016;27/01/2016;0
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;121677;5275,0000;U;27/01/2016;14/03/2016;47
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;121677;2975,0000;U;25/02/2016;14/03/2016;18
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;121784;10980,0000;U;25/02/2016;23/03/2016;27
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;121926;4700,0000;U;25/02/2016;07/04/2016;42
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;122037;12795,0000;U;25/02/2016;19/04/2016;54
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;122114;5000,0000;U;25/03/2016;28/04/2016;34
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;122310;12635,0000;U;25/04/2016;19/05/2016;24
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;122419;7365,0000;U;25/04/2016;31/05/2016;36
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;122419;2755,0000;U;25/05/2016;31/05/2016;6
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;122547;6900,0000;U;25/05/2016;20/06/2016;26
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;122604;5820,0000;U;25/05/2016;28/06/2016;34
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;122604;8000,0000;U;23/06/2016;28/06/2016;5
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;122802;5550,0000;U;23/06/2016;20/07/2016;27
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;122857;1450,0000;U;23/06/2016;27/07/2016;34
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;122857;9330,0000;U;25/07/2016;27/07/2016;2
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;122887;3770,0000;U;25/07/2016;28/07/2016;3
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;123202;1950,0000;U;25/07/2016;28/09/2016;65
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;123202;4570,0000;U;29/09/2016;28/09/2016;-1
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;123235;5200,0000;U;29/09/2016;03/10/2016;4
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;123290;5580,0000;U;29/09/2016;06/10/2016;7
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;123290;2000,0000;U;27/10/2016;06/10/2016;-21
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;123341;3265,0000;U;27/10/2016;12/10/2016;-15
000123;PRECI-DECTA Groupe H;C432032-0039;DOWEL PIN;123485;8685,0000;U;27/10/2016;27/10/2016;0
000123;PRECI-DECTA Groupe H;C434563-1;PIN;121252;2100,0000;U;16/12/2015;27/01/2016;42
000123;PRECI-DECTA Groupe H;C434563-1;PIN;123142;2900,0000;U;16/12/2015;22/09/2016;281
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;121901;10000,0000;U;23/03/2016;05/04/2016;13
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;121901;2030,0000;U;21/04/2016;05/04/2016;-16
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;122259;5000,0000;U;21/04/2016;13/05/2016;22
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;122346;12970,0000;U;21/04/2016;24/05/2016;33
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;122346;10000,0000;U;19/05/2016;24/05/2016;5
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;122425;5000,0000;U;19/05/2016;31/05/2016;12
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;122480;5000,0000;U;19/05/2016;08/06/2016;20
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;122480;15000,0000;U;23/06/2016;08/06/2016;-15
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;122638;10000,0000;U;23/06/2016;30/06/2016;7
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;122638;40000,0000;U;21/07/2016;30/06/2016;-21
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;123146;20000,0000;U;21/09/2016;22/09/2016;1
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;123199;15000,0000;U;20/10/2016;28/09/2016;-22
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;123199;2570,0000;U;24/11/2016;28/09/2016;-57
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;123238;20000,0000;U;24/11/2016;03/10/2016;-52
000123;PRECI-DECTA Groupe H;C785114-0001;SPACER;123366;21700,0000;U;14/12/2016;13/10/2016;-62
000123;PRECI-DECTA Groupe H;C785114-0005;SPACER;121685;500,0000;U;03/03/2016;15/03/2016;12
000123;PRECI-DECTA Groupe H;C805457-0005;SPACER;121161;60000,0000;U;20/01/2016;11/01/2016;-9
000123;PRECI-DECTA Groupe H;C805457-0005;SPACER;121175;60000,0000;U;20/01/2016;12/01/2016;-8
